,text_cleaned
34809,في خطوة مفاجئة جديدة أقدم جمال باعامر المدير التنفيذي لمجموعة سامير لتكرير البترول على إصدار أمر بمنع واحد من كبار مدراء المؤسسة من الولوج إلى مقر الشركة والذي كان يتمتع بحظوة خاصة لدى المدير السعودي الجنسية واليمني الأصل منذ أزيد من سنة تاريخ ولوجه إلى شركة سامير مديرا للموارد البشرية قادما من المكتب الوطني للتكوين المهني بعد إبعاده من طرف العربي بن الشيخ إثر اندلاع فضيحة التلاعب في مشتريات مكتب الذي شغل به منصب مدير جهوي بالدار البيضاء الكبرى وبينما تساءلت مصادر من سامير عن سر موافقة مسؤولي إدارة الجمارك على تمرير مبالغ مالية مستحقة من شهر غشت إلى يناير الجاري لفائدة شركتين لكراء السيارات تضعان سيارة متوسطة سيارات فاخرة رهن إشارة المسؤولين في سامير في إطار عقد كراء طويل الأمد على الرغم من الوضعية المالية التي تمر منها المصفاة فإن معطيات حصلت عليها هسبريس خلصت إلى أن قرار توقيف الرجل القوي في سامير الذي يشغل أيضا منصب عضو المكتب السياسي بحزب الأصالة والمعاصرة تم اتخاذه من طرف جمال باعامر يوم أمس الإثنين وجاء القرار مباشرة بعد توصل باعامر بمعلومات من طرف مقربين له تفيد بوجود فريق نهضة بركان لكرة القدم الذي يرأسه فوزي لقجع مدير الميزانية بوزارة المالية ورئيس الجامعة الملكية لكرة القدم في فندق أفينتي بالمحمدية الذي كان مملوكا لشركة سامير قبل أن تقوم بإصلاحه وتفويته لشركة كورال للمنتجعات والفنادق المملوكة للعمودي والتي لم تسدد ثمنه إلى يومنا هذا وبمجرد وصول جمال باعامر إلى الفندق مساء أمس ثارت ثائرته تقول مصادر هسبريس عندما شاهد يده اليمنى سابقا محمد غيات رفقة مسؤولي الفريق البركاني الذي اعتاد النزول في الفندق والاستفادة مجانا من المرافق الرياضية المتواجدة بشركة سامير وهي الامتيازات نفسها التي كان يستفيد منها كل من فريق الوداد البيضاوي الذي يشغل به محمد غيات منصب نائب الرئيس سعيد الناصيري وفريق شباب الريف الحسيمي الذي يرأسه إلياس العماري مقابل أداء شركة سامير لفواتير إقامة اللاعبين والأطقم المرافقة لهذه الأندية الرياضية طوال السنوات الأخيرة وكان محمد غيات الذي اعتبر لسنوات الرجل الثاني في الترتيب الهرمي للمسؤولين في شركة سامير وراء جمال باعامر يشغل منصب مدير قطب الموارد حيث كانت تخضع له إدارات الموارد العامة والنظم المعلوماتية والموارد البشرية والتواصل والعلاقات المؤسساتية كما كان يضطلع بمنصب مدير عام الأكاديمية الإفريقية للتكرير التي يوجد مقرها في قلب مصفاة سامير والتي كانت مكلفة بتكوين أطر الشركة المغربية للتكرير كما كانت تشرف على إدارة معهد اللغة الإنجليزية وول ستريت الذي يمتلكه جمال باعامر حيث كان كل زبنائه من عمال شركة سامير والفروع التابعة لها ونظرا لاضطلاعه بمنصب مدير عام الأكاديمية الإفريقية للتكرير فقد كان غيات عضوا في المنظمة الإفريقية للتكرير والتي تم من خلالها التوقيع على اتفاقية لتبادل الخبرات بين سامير ومصفاة النيجر حيث شرع في إرسال مجموعة من أطر سامير نحو هذا البلد الإفريقي للإشراف على دورات تدريبية لفائدة العمال النيجريين دون أي تعويض مادي وبحكم مزاوجته بين منصبين في سامير والأكاديمية الإفريقية للتكرير وعضو مديري بالفروع التابعة لـ سامير بكل من العاملة في مجال نقل المواد البترولية العاملة في مجال توزيع المحروقات بالمحطات التابعة لجمال باعامر فإن محمد غيات كان يستفيد من أجور شهرية متعددة وامتيازات وسيارتين ألمانيتين فاخرتين من طراز أودي وبطائق للتزود الشهري بالمحروقات وكان محمد غيات الذي فتح مؤسسة تعليمية في الدار البيضاء وراء العديد من التوظيفات التي شملت أفرادا من عائلته وأبناء قيادات سياسية وأفراد عائلات مسؤولين كبار من ضمنهم المديرة الحالية للموارد البشرية التي لم تعد تأتي إلى العمل دون الخوض في أسماء باقي التعيينات يقول مصدر هسبريس
76635,أفادت إدارة فريق اتحاد طنجة لكرة القدم بأنها قامت بفسخ العقد الذي كان يربطها مع اللاعب عادل المسكيني بالتراضي بعدما قضى نصف الموسم رفقة فارس البوغاز وعب رت إدارة الفريق الطنجي في خبر على الموقع الرسمي عن شكرها للاعب على انضباطه وحسن أخلاقه داخل وخارج الملعب ومتمنية له التوفيق في مسيرته الكروية وفي سياق ذي صلة اعتبر فريق اتحاد طنجة في منشوره الرسمي أن الحارس أحمد محمدينا أساء إلى الفريق ومكوناته بطريقة غير احترافية مؤكدا أن اتحاد طنجة وف له كل الظروف من أجل أن يعود إلى الميادين إلا أنه لم يستطع ذلك وهو ما جعل النادي يطلب منه فسخ العقد بالتراضي خصوصا أن اتحاد طنجة يتوفر على ثلاثة حراس للمرمى وهو ما رفضه الحارس وكان عليه أن يلجأ إلى الفريق عوض التشهير والخوض في أمور داخلية كما قام عبد الحق بنشيخة مدرب فريق اتحاد طنجة بوضع اللاعب عدنان الشرادي في لائحة المغادرين في حين ألحق ثلاثة لاعبين من فريق الأمل بالفريق الأول
88415,اعتبرت آلاف درهم مصروف جيب مقررة من الاتحاد الدولي كشفت الجامعة الملكية المغربية للملاكمة عن المنح التي تلقاها الملاكمون المغاربة خلال الفترة الممتدة من فاتح يناير إلى أبريل الماضيين بداية من البطل العالمي محمد ربيعي الفائز أخيرا بلقب بطولة العالم بالعاصمة القطرية الدوحة وجاء في كشف الجامعة أن البطل العالمي ربيعي تحصل على مبلغ ألف درهم وعبد الجليل أبو حمادة على ألف درهم ومحمد العزوزي على ألف درهم وأشرف الخروبي على ألف درهم وذكر بلاغ للجامعة أن مبلغ آلاف درهم الذي تحدث عنه البعض خلال الفترة الماضية لا يعدو أن يكون تعويضا عن مصروف الجيب المقرر من طرف الاتحاد الدولي للملاكمة في المعسكرات التي تنظم استعدادا للاستحقاقات وجاء في البلاغ يرتبط الملاكمون المغاربة بعقود مع الجامعة والاتحاد الدولي تخول لهم الحصول على راتب شهري بقيمة آلاف درهم ومنح بقيمة ألفا في حال الفوز في أي نزال برسم المنافسة أو آلاف في حال الهزيمة وبخصوص تلقي الملاكم الربيعي لمنحة مليون سنتيم من وزارة الشباب والرياضة قال البلاغ الجامعة لا علم لها بهذا الأمر ولا بقيمة منحة وزارة الشباب والرياضة التي سيتم الإعلان عنها في غضون الأيام القليلة المقبلة رغم أن الربيعي بفضل انجازه يستحق أكثر من المبالغ المذكورة كما نؤكد أن الاتحاد الدولي لا يخصص منحا للفائزين أو المشاركين وذكر البلاغ أيضا أن جل الأبطال المتوجين أخيرا في البطولة الإفريقية التي احتضنها المغرب تلقوا منحهم البالغة ألف درهم بالنسبة إلى الفائزين بالميدالية الذهبية ألف درهم بالنسبة إلى المتوجين بالفضة ألفا درهم للمتوجين بالبرونزية أحمد نعيم
95294,دومو يعتذر عن مرافقته إلى غانا والجامعة ترفض ضم مسؤول التغذية ضمن الوفد قررت الجامعة الملكية المغربية لكرة القدم تخصيص ألف درهم منحة كل لاعب في حال تأهل المنتخب الوطني للشباب إلى نهائيات كأس إفريقيا التي ستحتضنها الجزائر السنة المقبلة وكشف مصدر الصباح الرياضي أن علي الفاسي الفهري رئيس جامعة كرة القدم وافق مبدئيا على منح كل لاعب منحة ألف درهم في حال تأهل منتخب الشباب إلى النهائيات على حساب المنتخب الغاني آخر منافس لأشبال حسن بنعبيشة على بطاقة العبور إلى النهائيات ضمن الجولة الأخيرة من التصفيات التي ستقام مرحلتها الأولى الأحد المقبل بتامال ثم مرحلتها الثانية يوم أكتوبر المقبل مشيرا إلى أن الفهري دعا إلى ضرورة كسب ورقة التأهل بالنظر إلى الأهمية التي يكتسيها في مشروع الجامعة ككل وأكد المصدر ذاته أن حكيم دومو رئيس لجنة الشباب بالجامعة اعتذر عن ترؤس الوفد المغربي بحكم التزاماته إلى جانب اللجنة المعينة لإعداد تقرير عن المدرب المرتقب للمنتخب الوطني الأول وكذا إلى بعض التزاماته الشخصية الشيء الذي دفع الجامعة إلى تعيين عبد الهادي إصلاح رئيسا للوفد ومن المقرر أن يلتحق بالوفد اليوم الخميس علما أن الصديق العلوي الكاتب العام للجنة المنتخبات الوطنية التحق بالمنتخب الوطني للشباب مضيفا أن الاعتذار لا علاقة له بالمشاكل التي رافقت بعثة المنتخب الأولمبي بلندن وأوضح المصدر نفسه أن الجامعة رفضت السماح لخليل أوماحي المسؤول عن التغذية بالمركز الوطني لكرة القدم بمرافقة منتخب الشباب إلى غانا رغم إصرار بيم فيربيك المدير الرياضي للمنتخبات الوطنية الصغرى على اصطحابه من خلال الطلبات المتعددة التي بعثها إلى الجامعة معربا عن أمله في عدم تعرض الوفد المغربي لتسممات أثناء وجوده بتامال التي تبعد عن العاصمة أكرا بحوالي كيلومتر صلاح الدين محسن
62667,أعلن وزير شؤون خارجية زامبيا السيد كابينغا باندي اليوم السبت بالرباط أن بلاده قررت سحب اعترافها الجمهورية الصحراوية المزعومة زامبيا تسحب اعترافها الجمهورية الصحراوية المزعومة وقال السيد باندي خلال ندوة صحفية مشتركة عقدها مع وزير الشؤون الخارجية والتعاون السيد الطيب الفاسي الفهري إن حكومة جمهورية زامبيا قد سحبت بالفعل اعترافها الجمهورية الصحراوية المزعومة في مارس وتندرج زيارة وزير الشؤون الخارجية الزامبي في إطار تعميق الحوار السياسي والنهوض بالعلاقات الثنائية في المجالات الاقتصادية والتقنية والثقافية
58964,أخبارنا المغربية متابعة بات مؤكدا أن سعد الدين العثماني سيكون خارج التشكيلة الحكومية في نسختها الثانية بعد حصول صلاح الدين مزوار على حقيبة الخارجية ذلك بعد الاطلاع على لائحة الوزراء التجمعيين التي تم تسريبها في بعض المنابر الإعلامية حصل عبد الإله بنكيران على تعهد جميع مكونات الأغلبية الجديدة بأن يتولى وزير الخارجية والتعاون الحالي سعد الدين العثماني منصب رئيس مجلس النواب خلفا لكريم غلاب الذي من المنتظر أن يغادر منصبه في منتصف الولاية أي السنة المقبلة من المنتظر أن يعود العثماني إلى عمله الرسمي ومعالجة مرضاه النفسيين سواء بعيادته أو بمستشفى الشيخ زايد بالرباط في انتظار مرور هذه السنة كما أشارت مصادر أخرى إلى أن العثماني قد يعود في التشكيلة الثانية لحكومة بنكيران ليتولى منصب وزير التربية الوطنية خلفا لمحمد الوفا وتضم اللائحة التي تم تسريبها الوزراء التالية اسماءهم محمد بوسعيد وزير الإقتصاد والمالية صلاح الدين المزوار وزير الدولة في الخارجية محمد عبو وزيرا للصناعة التقليدية حسن عكاشة وزيرا منتدبا لدى رئيس الحكومة مكلفا بالجالية المغربية المقيمة بالخارج مباركة بوعيدة وزيرة منتدبة في الخارجة فاطمة مروان وزيرة منتدبة مكلفة بالبيئة انيس بيرو وزيرا للتربية الوطنية رشيد الطالبي العالمي وزيرا للطاقة والمعادن
75965,فرضت لجنة الانضباط في الاتحاد الإفريقي لكرة القدم عقوبات مالية على مصر ونيجيريا بسبب المخالفات التي شهدتها مباراتي المنتخبين في المجموعة من التصفيات المؤهلة إلى أمم أفريقيا وتم تغريم الاتحاد المصري بمبلغ آلاف دولار بسبب الاستخدام المتزايد لليزر في مدرجات ملعب برج العرب خلال اللقاء الذي انتهى بفوز الفراعنة وفرضت على الاتحاد النيجيري نفس الغرامة إضافة إلى التهديد بعقوبات أخرى بسبب تكدس الجماهير ونقص إجراءات الأمن في ملعب آمادو بيلو في مدينة كادونا في اللقاء الذي انتهى بالتعادل واقترب منتخب مصر من التأهل إلى أمم أفريقيا حيث يحتل صدارة المجموعة برصيد نقاط مقابل نقطتين لنيجيريا ونقطة لتنزانيا بعد انسحاب تشاد من التصفيات وإلغاء نتائجها مع باقي المنتخبات
58917,أخبارنا المغربية انتقد تيار الانفتاح والديمقراطية بشدة في اجتماعه الأسبوعي العادي أول أمس بالدار البيضاء قرار قيادة حزب الاتحاد الاشتراكي القاضي بتوقيف عبد العالي دومو وأحمد رضا الشامي من جميع المهام والمسؤوليات داخل الحزب وفق يومية المساء في عددها الصادر غدا فقد اعتبر التيار في بلاغ أن هذا القرار غير قانوني لعدم احترامه إجراء ات النصاب القانوني وآجال وشروط انعقاد التأديب وفي مقدمتها تمكين المطلوب أمام المجلس التأديبي من حقوق الدفاع كاملة غير منقوصة وهو الأمر الذي تم خرقه
44172,انتخب المغرب بالإجماع رئيسا لاتحاد المهندسين الزراعيين العرب في إطار أشغال الدورة الأربعين للمؤتمر العام للاتحاد المنعقدة بالرباط تحت الرعاية السامية لجلالة الملك محمد السادس تحت شعار التنمية الزراعية والأمن الغذائي وجاء انتخاب المغرب في شخص السيد عبد السلام الدباغ الأمين العام للجمعية المهندسين الزراعيين المغاربة مساء أمس الأربعاء في ختام أشغال الجلسات التنظيمية للمؤتمر الذي صادق أيضا على سلسلة توصيات تهم التعاون العربي في مجال الأمن الغذائي والتنمية الزراعية يشار إلى أن برنامج المؤتمر الذي افتتحت أشغاله الثلاثاء ويتواصل على مدى خمسة أيام يتضمن مناقشة الإشكاليات المرتبطة بالتنمية الزراعية والأمن الغذائي في العالم العربي بالاضافة الى تنظيم ندوة حول السياسات الحكومية ودورها في تنمية القطاع الفلاحي ويتوخى اتحاد المهندسين الزراعيين العرب الذي تأسس سنة تحقيق التقائية فكرية وعلمية وتقنية بين منظمات المهندسين الزراعين في الدول العربية وتبادل الخبرات ونتائج البحوث الزراعية بين الأقطار العربية تطوير مهنة الهندسة الزراعية والارتقاء بمستواها العلمي لتستجيب لمتطلبات التنمية وتحقيق أهداف التنمية الاقتصادية العربية في المجال الزراعي
99150,منح حسن الفيلالي رئيس الاتحاد الزموري للخميسات لكرة القدم فوزي جمال مدرب الفريق راحة خمسة أيام امتدت بعد مباراة اولمبيك آسفي السبت الماضي وتستمر إلى غاية بعد غد الجمعة وأوضح مصدر من داخل الفريق لـ الصباح الرياضي أن الفيلالي منح فوزي جمال راحة سيستغلها للسفر إلى بلجيكا لزيارة أفراد عائلته من أجل تجاوز الضغط النفسي الذي عاناه في الدورات الأخيرة من البطولة الوطنية ومنحه فرصة استعادة تركيزه على ما تبقى من مباريات البطولة الوطنية وأضاف المصدر ذاته أن الفيلالي استغل فترة توقف البطولة الوطنية الأسبوع الجاري بسبب المباريات التي ستخوضها المنتخبات الوطنية تزامنا مع تواريخ الاتحاد الدولي لكرة القدم لمنح مدرب الفريق راحة وللتأكيد على تشبث المكتب المسير به بعد أن رفض استقالته وطلب منه الاستمرار في تدريب الفريق وحسب المصدر نفسه فإن فوزي جمال عبر عن امتنانه للمكتب المسير للثقة التي وضعها فيه ولتفهم رئيس الفريق للوضع النفسي الذي عاناه بعد مباراة أولمبيك آسفي وأنه سيقود استعدادات الفريق بعد غد الجمعة مشيرا إلى أن الطاقم التقني سيتكفل بالحصص الإعدادية إلى حين عودته وكان فوزي جمال طلب إعفاءه من منصبه بعد هزيمة فريقه أمام أولمبيك آسفي الأحد الماضي بهدفين لواحد صلاح الدين محسن الـجـيـش يـعـفـي الفـاضـلـي وحـامـل الأمـتـعـة استبعد الجيش الملكي حامل الأمتعة بوعزة النجار والمنسق بالفريق الأول حمو الفاضلي أول أمس الاثنين من أداء مهامهما بالنادي في خطوة أثارت استغراب العديد من محبي وأنصار الفريق وعلم الصباح الرياضي من مصدر داخل الفريق العسكري أن إدارة الأخير عينت محمد عبدلاوي مكلفا بأمتعة الفريق الأول بعد أن أخبرت النجار باستبعاده مشيرا إلى أن القرار اتخذ بعد تحميل الأخير إثارة المشاكل في الوقت الذي سبق له أن قضى أزيد من سنة حاملا للأمتعة بالجيش الملكي والمنتخب الوطني في عهد الرئيس السابق للجامعة الجنرال حسني بنسليمان وأوضح المصدر ذاته أن إدارة الفريق طلبت اجتماعها بحمو الفاضلي أمس الثلاثاء من أجل إخباره بقرار الاستغناء عنه بعد أن انتقدت عمله في الآونة الأخيرة مضيفا أن تغييرات مرتقبة قد تطرأ في المرحلة المقبلة بالنظر إلى النتائج السلبية التي يسجلها الفريق وأكد المصدر نفسه أن التغييرات التي أجرتها إدارة الفريق المراد بها الالتفاف على الأزمة التي يعانيها كما تدل على ذلك الرتبة التي يحتلها في البطولة الوطنية بالنظر إلى الإمكانيات المادية الهائلة التي يتوفر عليها وإلى المشاكل التي يعانيها في السنوات الأخيرة في البطولة بعد أن غاب عن منصات التتويج في أربع سنوات الأخيرة
